name,year,top3,top8,evt1,mark1,score1,evt2,mark2,score2,evt3,mark3,score3
Stockholm BAUHAUS Galan,2019,3718,9767,"Men's 10,000m",26:50.16,1242,Men's 400mH,47.85,1239,Men's Discus Throw,69.57,1237
Brussels AG Memorial Van Damme,2015,3716,9840,Men's Pole Vault,5.95,1253,Men's 5000m,12:53.98,1232,Women's 3000mSC,9:05.36,1231
Müller Grand Prix Birmingham,2017,3714,9753,Men's High Jump,2.40,1269,Men's Shot Put,21.83,1230,Women's 100m,10.93,1215
Doha IAAF Diamond League,2010,3707,9764,Men's 5000m,12:51.21,1242,Men's 800m,1:43.00,1235,Men's Shot Put,21.82,1230
Rabat Meeting Mohammed VI d'Athletisme,2018,3707,9823,Men's Javelin Throw,89.75,1240,Women's 5000m,14:21.75,1238,Men's 3000mSC,8:06.19,1229
Shanghai Diamond League,2012,3706,9686,Men's 110mH,12.97,1260,Women's 1500m,3:57.77,1223,Women's Discus Throw,68.24,1223
Roma Golden Gala,2011,3705,9791,Men's 100m,9.91,1238,Men's 400mH,47.91,1236,Men's 5000m,12:54.21,1231
Oslo Bislett Games,2015,3704,9719,Women's 5000m,14:21.29,1239,Men's High Jump,2.36,1233,Men's 3000mSC,8:05.63,1232
London Müller Anniversary Games,2017,3702,9825,Men's 110mH,13.09,1237,Women's 100mH,12.39,1234,Women's Javelin Throw,68.26,1231
Doha IAAF Diamond League,2011,3702,9757,Men's 3000m,7:27.26,1257,Men's 400mH,48.11,1226,Men's 1500m,3:31.84,1219
Oslo Bislett Games,2014,3700,9726,Men's 3000mSC,8:02.37,1247,Men's 110mH,13.12,1231,Women's Long Jump,7.02,1222
London Müller Anniversary Games,2021,3700,9718,Men's 3000m,7:27.64,1254,Women's 400mH,53.24,1228,Men's Triple Jump,17.50,1218
Eugene Prefontaine Classic,2012,3700,9812,Women's High Jump,2.02,1239,Men's Triple Jump,17.62,1231,Women's 400m,49.39,1230
Stockholm BAUHAUS Galan,2012,3700,9789,Men's 3000m,7:30.43,1236,Women's Discus Throw,68.77,1233,Men's 100m,9.93,1231
Roma Golden Gala,2013,3697,9784,Men's Pole Vault,5.91,1242,Men's 5000m,12:54.95,1228,Men's 100m,9.94,1227
Müller Grand Prix Birmingham,2014,3695,9719,Men's High Jump,2.38,1251,Men's 3000mSC,8:07.80,1222,Men's 2 Miles,8:07.85,1222
Zürich Weltklasse,2022,3691,8341,Women's Triple Jump,15.28,1249,Men's 400m,44.39,1223,Women's Shot Put,20.19,1219
Müller Grand Prix Birmingham,2010,3688,9739,Men's Discus Throw,69.83,1241,Men's 100m,9.94,1227,Men's 100m,9.96,1220
Zürich Weltklasse,2014,3687,9788,Men's Shot Put,21.88,1233,Men's 200m,19.95,1228,Women's Discus Throw,68.36,1226
New York adidas Grand Prix,2015,3684,9759,Men's 400m,44.24,1233,Women's Discus Throw,68.44,1227,Men's Triple Jump,17.56,1224
Müller Grand Prix Birmingham,2011,3684,9768,Men's 100m,9.91,1238,Men's 100m,9.95,1224,Men's Triple Jump,17.54,1222
Oslo Bislett Games,2017,3680,9703,Men's High Jump,2.38,1251,Men's 400mH,48.25,1218,Women's Pole Vault,4.81,1211
Müller Grand Prix Birmingham,2013,3678,9698,Men's Triple Jump,17.66,1235,Men's High Jump,2.36,1233,Men's 100m,9.99,1210
Stockholm BAUHAUS Galan,2013,3677,9712,Women's Javelin Throw,68.59,1237,Women's Shot Put,20.30,1226,Men's 110mH,13.21,1214
London Müller Anniversary Games,2012,3676,9707,Men's 400mH,47.78,1243,Women's High Jump,2.00,1219,Women's 100mH,12.53,1214
Stockholm BAUHAUS Galan,2016,3676,9646,Men's Triple Jump,17.59,1228,Women's Discus Throw,68.32,1225,Women's 3000mSC,9:08.37,1223
Stockholm BAUHAUS Galan,2017,3671,9688,Men's 1500m,3:30.77,1234,Women's High Jump,2.00,1219,Women's Discus Throw,67.92,1218
Müller Grand Prix Birmingham,2019,3668,9655,Women's 3000mSC,9:05.55,1230,Women's 100mH,12.46,1224,Men's 110mH,13.21,1214
London Müller Anniversary Games,2014,3663,9731,Men's 800m,1:43.34,1225,Men's Shot Put,21.67,1221,Men's 100m,9.97,1217
Stockholm BAUHAUS Galan,2014,3662,9667,Men's 5000m,12:54.83,1229,Men's 100m,9.96,1220,Women's Long Jump,6.98,1213
New York adidas Grand Prix,2013,3655,9623,Women's Discus Throw,68.48,1228,Men's 110mH,13.19,1218,Men's 400mH,48.43,1209
Stockholm BAUHAUS Galan,2015,3650,9682,Men's 110mH,13.18,1219,Women's Shot Put,20.13,1216,Women's 100m,10.93,1215
New York adidas Grand Prix,2011,3572,9340,Men's 400mH,48.50,1206,Men's 5000m,13:05.22,1191,Women's 3000mSC,9:27.29,1175
